Date,Event,Link,Sort Number,Entry ID
11/9/2013,"The Board of Directors of ELECTRUM TECHNOLOGIES company changes. Italian Antonio Sassi replaces Yiannis Lavranos as chairman and managing director. However, according to the Italian Ministry of Interior, Mr. Sassi's identity had been stolen years earlier (on March 12, 2012) in the Pompeii area. Similarly, the identity of another ELECTRUM board member, Giorgio Antonelli, was also stolen. The accountant who appears to sign ELECTRUM's financial statements will tell Efimerida ton Syntakton that the signature is not hers and she knows neither the companies nor Lavranos.",https://www.efsyn.gr/politiki/366681_skandalo-ypoklopon-pos-stithike-o-istos-kybernisis-labranoy,41528,52b6d320
8/1/2014,"The first of eleven contracts between ELECTRUM TECHNOLOGIES and Piraeus Bank is signed. G. Lavranos signs the contracts as the legal representative of the company. The eleven contracts will be signed between October 2013 and December 2014 and total 8.7 million euros, while invoices issued for these contracts were characterized as fictitious by the tax authorities.",https://tvxs.gr/news/ellada/apokleistiko-lavranos-elektroym-krikel-eikonika-timologia-ypoklopes-kratika-symvolaia-ta-porismata-poy-kaine-ton-koymparo-toy-grigori-dimitriadi/,41647,d1cf2197
07/06/2017,KRIKEL SINGLE-MEMBER LIMITED LIABILITY COMPANY is established with initial capital of 5,https://publicity.businessportal.gr/company/142811701000,42893,e58c0195
16/10/2017,"All shares of Krikel are transferred to Cypriot company ENEROSS HOLDINGS LIMITED, whose representative is Peltsar Stanislav Simon.",https://publicity.businessportal.gr/company/142811701000,43024,453b6bb9
18/1/2018,"Cypriot company Viniato Holdings Limited, owned by Felix Bitzios, signs a contract to provide services to Krikel for 550,000 euros.",https://insidestory.gr/article/apo-koykaki-androylaki-nea-tropi-ypothesi-predator,43118,099dc4c8
29/03/2018,"Law 4531/2018 (article 25, paragraph 3) is voted, requiring only the approval of the EYP Prosecutor's Office for surveillance of persons. Until then, approval from the Court of Appeals Prosecutor was also required. Law 4531/2018 remains in effect until 09/08/2022, when Presidential Decree 9-8-2022/2022 restores the previous status. Golden Dawn, KKE and Union of Centrists voted ""Present"" while the remaining parties voted in favor.",https://www.kodiko.gr/nomothesia/document/354118,43188,a905b6d2
29/6/2018,"The contract is signed between the Ministry of Citizen Protection and Krikel for the provision of maintenance services for the TETRA encrypted communications system for a total of 8.8 million euros plus VAT (1.6 million euros annually) with a duration of 5.5 years (1/7/2018-31/12/2023). The TETRA system had previously been donated to the Greek state by the company Ioniki Single-Member Limited Liability Company, which belonged to G. Lavranos, and Lamas Pinto Consulting.",https://www.protothema.gr/files/2024-07-29/Simvasi__1___1_.pdf,43280,141195fa
26/07/2019,"The first bill of the Mitsotakis government on the Executive State (law 4622/2019) is submitted to Parliament. With the new law, which is passed only with the votes of New Democracy on August 7, the Presidency of the Government is established. The Greek Intelligence Service (EYP) and state media, Hellenic Broadcasting Corporation (ERT) and Athens-Macedonian News Agency (AMPE), now fall under the Presidency. The Presidency reports to the Prime Minister and consists, among others, of the General Secretariat of the Prime Minister under Grigoris Dimitriadis (nephew of K. Mitsotakis), who had responsibility for EYP. Additionally, the law establishes incompatibility for General Secretaries (articles 68 & 70). Finally, the law provides for the establishment of the National Transparency Authority (EAD), which absorbs the responsibilities of the General Inspector of Public Administration, the Corps of Inspectors-Auditors of Public Administration, the Corps of Health and Welfare Inspectors, the Corps of Public Works Inspectors, the Corps of Transport Inspectors-Auditors and the General Secretariat for Combating Corruption.",https://linkmix.co/12004153,43672,06fa0bd2
01/08/2019,"Beginning of Panagiotis Kontoleon's term as director of EYP. P. Kontoleon holds a recognized degree from the Open University of the United Kingdom in Music, started his career as a guard at the US Embassy and had worked at one and only one company, G4S.",https://linkmix.co/12004561,43678,db022ede
26/8/2019,"The bill on intellectual property rights is passed by ND, SYRIZA, PASOK, MeRA25. Among other things, it provides for the processing of personal data for other purposes by public and private entities for reasons of ""national security.""",https://linkmix.co/14260399,43703,5b084d32
27/8/2019,"Angelos Binis, close friend and best man of K. Mitsotakis, is selected as head of the newly established National Transparency Authority (EAD). His appointment will be judged by the Parliamentary Committee on Institutions and Transparency on July 7, 2021 with the affirmative vote of only ND.",https://linkmix.co/13083502,43704,05e55086
31/08/2019,"Under Law 4625/2019 (Article 21, paragraph 2), the required qualifications for appointing the director of the Greek Intelligence Service (EYP) are changed. A university degree is no longer required; ""at least ten years of proven professional employment"" is now sufficient. A few days earlier, from the Parliament floor, K. Mitsotakis had stated: ""Regarding the EYP issue, I don't have much to say, we will not change any law.""",https://linkmix.co/13083683,43708,02a5c28e
4/9/2019,"T. Dilian demonstrates his surveillance van to Forbes, which operates in Cyprus. After the video's publication, a scandal erupts in Cyprus and T. Dilian discontinues his activities there. In 2022, the country's judicial authorities will impose a fine of almost €1 million on Wispear, the company that owns the van and is a predecessor to Intellexa.",https://linkmix.co/14207146,43712,db552504
25/09/2019,"By decision 71008/25-09-2019 of the Minister of Infrastructure and Transport, Evangelos Dogiakos (son of the Deputy Prosecutor and later Prosecutor of the Supreme Court, Isidoros) is hired as a special advisor in the Private Office of the Minister of Infrastructure and Transport Konstantinos Karamanlis.",http://www.et.gr/api/DownloadFeksApi/?fek_pdf=20191400810,43733,a1945183
01/11/2019,"Journalist Thanasis Koukakis publishes an article in the Financial Times regarding transactions of Piraeus Bank with banker Michalis Sallas, former head of the bank, and the Libra business group of shipowner Giorgos Logothetis. In the following months, Th. Koukakis publishes a series of articles in the FT, Inside Story, the Cypriot Politis, Documento, and ereportaz, demonstrating how these transactions allegedly caused losses to the bank.",https://www.reportersunited.gr/8646/eyp-koukakis/,43770,f900c863
14/11/2019,"Th. Koukakis contributes to an article in the Financial Times regarding the amendment of the Criminal Code through Law 4637/2019. The amendment is characterized as a setback in combating money laundering. Four days later, the FT publishes a response letter from the Minister of State, Giorgos Gerapetritis.",https://linkmix.co/12005883,43783,60d68e35
18/11/2019,"Law 4637/2019 is published. Through Article 15 (which was amended by Article 18 of Law 4664/2020), until May 19, 2020, orders of the President of the Authority for Combating Money Laundering from Criminal Activities, issued [...] before the publication of this law and for which 18 months (9+9) have elapsed, are forwarded with the relevant freezing documents and a copy of the case file to the investigating judge (if the case is pending at the investigation stage) or to the competent judicial council (in any other case), which decides on the validation or not of the order of the President of the Authority for Combating Money Laundering from Criminal Activities. In case of the expiration of the deadline of the first paragraph without action, the order of the President of the Authority for Combating Money Laundering from Criminal Activities automatically ceases to be valid.",https://linkmix.co/11623064,43787,1c7da3d9
28/11/2019,"A document (protocol number 706A), addressed to G. Dimitriadis and signed by Ms. Eleni Schina, head of the Administration and Organization office of the Prime Minister's General Secretariat (which reports to G. Dimitriadis himself), argues that ""in the opinion of our service [...] the status of shareholder of a private limited liability company is not incompatible with the status of General Secretary.""",https://www.reportersunited.gr/12445/predator-gate-mitsotakis-dimitriadis-synallages/,43797,b90803de
11/12/2019,"G. Dimitriadis establishes Eledyn, a company active in ""the production, sale and general distribution of electricity from renewable energy sources (RES).""",https://www.documentcloud.org/documents/22033500-eggrapho_1-sustase-edelyn,43810,22d1d9dc
15/12/2019,"G. Dimitriadis drafts a document (protocol number 316) requesting a service - subordinate to him - to provide its ""views"" ""regarding whether there is an incompatibility [...] with the acquisition and holding [...] of company shares in a private limited liability company."" Recipients of the document are the Presidency of the Government (which reports to the Prime Minister) and the Administration and Organization office of the Prime Minister's General Secretariat (which at that time reported to Mr. Dimitriadis himself).",https://www.reportersunited.gr/12445/predator-gate-mitsotakis-dimitriadis-synallages/,43814,4b8cde51
10/1/2020,"Eledyn, owned by G. Dimitriadis, acquires (for €1,000) Canalis, a company also active in electricity production.",https://www.reportersunited.gr/8948/o-megalos-anipsios-ki-o-megalos-aderfos/,43840,32782d6c
10/3/2020,"Brigadier General Petros Kyriafinis, Director of Defense Investments and Technological Research at the Ministry of National Defence, is retired, among others. According to a subsequent article by Reporters United, his retirement was decided by the political rather than the military leadership, as Yiannis Lavranos had told Defence Minister and his koumbaros (wedding sponsor) Nikos Panagiotopoulos ""to replace them all"".",https://linkmix.co/50969156,43900,67a49d7e
11/03/2020,"INTELLEXA SINGLE-MEMBER SOCIÉTÉ ANONYME is established by the company's accountant acting as representative and attorney-in-fact of the Irish Limited Liability Company THALESTRIS LIMITED, headquartered in Kifisia with initial capital of 26,000 euros. Sara Alexandra Hamou, second wife of Tal Dilian, is appointed as advisor-director and sole member of the first Board of Directors.",https://www.businessregistry.gr/downloadFile/index?key=publicationFile&elementId=100717,43901,f13ff66b
31/3/2020,"Ionia Techniki issues an invoice of 160,000 euros plus VAT to Krikel for the supply of computer equipment. Ionia issued a total of fictitious invoices to Krikel between 2018-2021 amounting to 5,361,230 euros, with the corresponding tax reaching 1,286,695 euros.",https://linkmix.co/24982632,43921,7636227f
07/05/2020,"Intellexa is registered in the General Commercial Registry (GEMI). Felix Bitzios is appointed as deputy advisor-director. A few days later, the term ""SINGLE MEMBER"" will be removed from the company's title.",https://linkmix.co/13639441,43958,418c4759
12/05/2020,Vasiliki Vlachou is appointed as Prosecutor of the Greek Intelligence Service (EYP).,https://www.news247.gr/politiki/skandalo-ypoklopon-o-rolos-tis-eisaggeleos-tis-eyp-vasilikis-vlachoy-kai-ta-anapantita-erotimata.9718980.html,43963,e4c2fb86
01/06/2020,"The Greek Intelligence Service (EYP), with order no. E2402/2020, requests Cosmote to lift the confidentiality of a mobile number maintained by Th. Koukakis. The lifting is requested for two months, until August 1, 2020, citing national security reasons.",https://www.reportersunited.gr/8646/eyp-koukakis/,43983,89e6157f
01/07/2020,The Greek Intelligence Service (EYP) proceeds to surveil anti-vaxxers and participants in protests against Covid-19 restriction measures.,https://www.efsyn.gr/themata/thema-tis-efsyn/319063_polites-se-kathestos-parakoloythisis-apo-tin-eyp,44013,ab81860b
09/07/2020,"Through amendment 390-3 of Law 4704/2020, KETYAK (Center for Technological Support, Development and Innovation) is created, an ""independent service"" within the Greek Intelligence Service (EYP). KETYAK will be able to sign confidential contracts with entities under a regime of complete lack of transparency, as, according to the amendment, ""such acts are not published in the Government Gazette and are not posted on the Diavgeia transparency program.""",https://linkmix.co/12009475,44021,71f3cd18
13/07/2020,"The Greek Intelligence Service (EYP), with order no. E3077/2020, requests an extension of the lifting of confidentiality of Th. Koukakis's number, again for national security reasons and for a period of two months, until October 1, 2020.",https://www.reportersunited.gr/8646/eyp-koukakis/,44025,5938d64e
22/07/2020,"A payment of 155,000 euros is created from Intellexa (a company that trades Predator) through the European payment system (SEPA) to Krikel (interests of G. Lavranos and official supplier to the Public Sector) and on the same day an equal amount outgoing from Krikel to Intellexa. The same month, the first pseudonymous domains are purchased for trapping and surveilling targets with Predator within Greece.",https://insidestory.gr/article/elliniko-dimosio-kai-Intellexa-ki-omos-gnorizontai,44034,82cb3e71
