Όνομα,Περιγραφή,Μέθοδος
Νίκος Ανδρουλάκης,"Ευρωβουλευτής, Πρόεδρος του ΠΑΣΟΚ-ΚΙΝΑΛ.","Predator & ΕΥΠ"
Κωστής Χατζηδάκης,"Υπουργός Εργασίας.","Predator & ΕΥΠ"
Γιώργος Μυλωνάκης,"Γενικός γραμματέας της Βουλής","Predator & ΕΥΠ"
Μανώλης Γραφάκος,"Γενικός γραμματέας Συντονισμού Διαχείρισης Αποβλήτων","Predator & ΕΥΠ"
Νίκος Σιγάλας,"Διευθυντής του γραφείου Τύπου του υπουργείου Εργασίας και δεξί χέρι του υπουργού Εργασίας Κωστή Χατζηδάκη","Predator & ΕΥΠ"
Κωστής Μουσουρούλης,"Συντονιστής του Σχεδίου Δίκαιης Αναπτυξιακής Μετάβασης [ΣΔΑΜ] των περιοχών της δυτικής Μακεδονίας και της Μεγαλόπολης, πρώην υπουργός","Predator & ΕΥΠ"
Σπύρος Κουσουνής,"Στέλεχος της Υπηρεσίας Ερευνών και Διασφάλισης Δημοσίων Εσόδων (ΥΕΔΔΕ)","Predator & ΕΥΠ"
Αργυρώ Ξαγοράρη ,"Δεξί χέρι της Μαρέβας Γκραμπόφσκι σε πολλές επιχειρηματικές δραστηριότητες, στελεχώνει τη γραμματεία του Κυριάκου Μητσοτάκη στο Μέγαρο Μαξίμου","Predator & ΕΥΠ"
Μαίη Ζαννή,"Ειδική σύμβουλος στη Γενική Γραμματεία πρωθυπουργού, πρώην σύντροφος του δημάρχου Αθηναίων Κώστα Μπακογιάννη","Predator & ΕΥΠ"
Τόνια Πρίμπα,"Δικηγόρος, σύμβουλος στη Γενική Γραμματεία Τηλεπικοινωνιών και Ταχυδρομείων","Predator & ΕΥΠ"
Τίνα Μεσσαροπούλου,"Πανελίστρια, σύζυγος του γγ της Βουλής Γ. Μυλωνάκη","Predator & ΕΥΠ"
Μαρία Διαμαντή,"Εργάζόμενη στο Μέγαρο Μαξίμου","Predator & ΕΥΠ"
Αλέξανδρος Διακόπουλος,"Πρώην σύμβουλος Εθνικής Ασφάλειας της Ελλάδας.","Predator & ΕΥΠ"
Άννα Στρατινάκη,"Γενική Γραμματέας Εργασιακών Σχέσεων / Υπουργείο Εργασίας","Predator"
Αντώνης Σαμαράς,"Πρώην πρωθυπουργός.","Predator"
Νίκος Δένδιας,"Υπουργός Εξωτερικών.","Predator"
