Όνομα,Περιγραφή
Κυριάκος Μητσοτάκης,"Εκλέγεται Πρωθυπουργός στις 8/7/2019. Στις 7/8/2019 συστήνεται η Προεδρία της Κυβέρνησης, η οποία υπάγεται στον Πρωθυπουργό και στην οποία εφεξής υπάγονται η ΕΥΠ και τα κρατικά ΜΜΕ, ΕΡΤ και ΑΜΠΕ."
Γρηγόρης Δημητριάδης,"Ανιψιός του Κ. Μητσοτάκη. Ορίζεται Γενικός Γραμματέας του Πρωθυπουργού στις 7/8/2019, έχοντας υπ’ ευθύνη του την ΕΥΠ στη νεοσύστατη Προεδρία της Κυβέρνησης. Όντας ΓΓ, ιδρύει την εταιρεία Eledyn όντας μοναδικός εταίρος της και με αρχικό κεφάλαιο 50.000 ευρώ. Μέσω της Eledyn εξαγοράζει την εταιρεία Canalis έναντι 1.000 ευρώ από τον Κ. Μπαζιώτη, πρώην εργαζόμενο σε εταιρείες που σχετίζονται με τον Φέλιξ Μπίτζιο, την οποία μεταπουλάει έναντι 166.513 ευρώ στην εταιρεία B&F. Παραιτείται από ΓΓ στις 5/8/2022."
Παναγιώτης Κοντολέων,"Διορίζεται διοικητής της ΕΥΠ στις 1/8/2019. Ξεκίνησε την καριέρα του ως φύλακας στην πρεσβεία των ΗΠΑ και είχε εργαστεί σε μία και μοναδική εταιρεία, την G4S. Κατέχει αναγνωρισμένο πτυχίο από το Ανοιχτό Πανεπιστήμιο του Ηνωμένου Βασιλείου στον τομέα της Μουσικής. Στις 31/8/2019 αλλάζουν τα απαιτούμενα προσόντα για το διορισμό του διοικητή της ΕΥΠ και πλέον δεν απαιτείται η κατοχή Πανεπιστημιακού Τίτλου. Στις 29/7/2022 φέρεται να διατάσσει, την καταστροφή του αρχείου παρακολούθησης του Ν. Ανδρουλάκη. Παραιτείται από διοικητής της ΕΥΠ στις 5/8/2022."
Φέλιξ Μπίτζιος,"Πρώην διευθύνων σύμβουλος της θυγατρικής του αμερικανικού ομίλου Libra στην Ελλάδα, συμφερόντων της εφοπλιστικής οικογένειας Λογοθέτη. Αναπληρωτής διαχειριστής της Intellexa από τις 31/3/2020 έως τις 23/6/2021. Σύμβουλος της Krikel το 2018."
Γιάννης Λαβράνος,"Έλληνας επιχειρηματίας και κουμπάρος του Γ. Δημητριάδη. Το 2007 ιδρύει την εταιρεία ELECTRUM TECHNOLOGIES, μετέπειτα ΙΟΝΙΚΗ ΤΕΧΝΟΛΟΓΙΚΗ. Το 2014 η ΙΟΝΙΚΗ, που ελέγχεται για φορολογικές παραβάσεις, γίνεται μία από τις τρεις εταιρείες που δωρίζουν στο υπουργείο Προστασίας του Πολίτη το σύστημα κρυπτογραφημένων συνομιλιών TETRA, δωρεά που επικυρώνεται το 2017. Από τον Οκτώβριο 2017, φέρεται να διευθύνει την KRIKEL, παρότι δεν εμφανίζεται επίσημα στη διαχείρισή της."
Intellexa,"Ισραηλινή εταιρεία που εμπορεύεται το λογισμικό παρακολούθησης Predator. Ιδρύθηκε από τον Ταλ Ντίλιαν. Η ελληνική Intellexa ΑΕ ανήκει κατά 65% στην ιρλανδική Thalestris Limited, συμφερόντων Ταλ Ντίλιαν, και κατά 35% στη κυπριακή Santinomo Limited, συμφερόντων Φέλιξ Μπίτζιου."
Krikel,"Συστήνεται το 2017 με αρχικό κεφάλαιο 5.000 ευρώ. Διαχειριστής της ορίζεται ο Πολωνός Pelczar Stanislaw, αλλά ο έλεγχος φέρεται να ανήκει στον Γ. Λαβράνο, με σύμβουλο τον Φ. Μπίτζιο. Έχοντας μηδενικό τζίρο το πρώτο εξάμηνο λειτουργίας, το 2018 αποκτά έσοδα 840.000 ευρώ. Το Μάρτιο 2018 υπογράφει την πρώτη από τις συνολικά έξι συμβάσεις με το ελληνικό Δημόσιο. Οι συμβάσεις αφορούσαν τη συντήρηση, ανανέωση και επέκταση του συστήματος επικοινωνιών Tetra Sepura της Ελληνικής Αστυνομίας, ενώ μία αφορούσε την προμήθεια συστήματος αντιπαρακολούθησης. Η συνολική αξία των συμβάσεων ανέρχεται σε 11.295.000 ευρώ."
Θανάσης Κουκάκης,"Έλληνας δημοσιογράφος. Από το Νοέμβριο 2019 και για τους επόμενους μήνες ερευνά και αρθρογραφεί σχετικά με συναλλαγές της Τράπεζας Πειραιώς με τον τραπεζίτη Μιχάλη Σάλλα, άλλοτε επικεφαλής της τράπεζας, και του επιχειρηματικού ομίλου Libra του εφοπλιστή Γιώργου Λογοθέτη, αλλά και σχετικά με τις αλλαγές στο νόμο περί ξεπλύματος βρώμικου χρήματος. Από τις 1/6/2020 η ΕΥΠ αίρει το απόρρητο των επικοινωνιών του Θ. Κουκάκη επικαλούμενη λόγους εθνικής ασφάλειας. Η άρση παύει στις 12/8/2020, ημέρα που ο Θ. Κουκάκης καταθέτει καταγγελία στην ΑΔΑΕ ζητώντας να του γνωστοποιήσει αν παρακολουθείται. Στις 12/7/2021, και μέχρι τις 24/9/2021, το κινητό του παγιδεύεται με το λογισμικό Predator."
Νίκος Ανδρουλάκης,"Έλληνας Ευρωβουλευτής. Στις 12/9/2021 η ΕΥΠ αίρει το απόρρητο των επικοινωνιών του. Στις 21/9/2021 επιχειρείται παγίδευση του κινητού του με το Predator, η οποία αποτυγχάνει. Στις 14/12/2021 σταματάει η επί τρεις μήνες παρακολούθησή του από την ΕΥΠ, δύο μέρες μετά την εκλογή του στην Προεδρία του ΠΑΣΟΚ."
Χρήστος Σπίρτζης,"Έλληνας Βουλευτής και τομεάρχης Προστασίας του Πολίτη του ΣΥΡΙΖΑ. Στις 15 και 19 Σεπτεμβρίου 2021 επιχειρείται παγίδευση του κινητού του με το λογισμικό Predator, αφού έχουν προηγηθεί τις ίδιες μέρες ανακοινώσεις του σχετικά με τη λειτουργία της ΕΥΠ."
Βασιλική Βλάχου,"Στις 12/5/2020 τοποθετείται ως Εισαγγελέας της ΕΥΠ. Με το ν. 4531/2018 απαιτείται μόνο η έγκριση της Εισαγγελίας της ΕΥΠ για την παρακολούθηση προσώπων. Την εποχή της τοποθέτησής της στην ΕΥΠ βρισκόταν στην έδρα του Πενταμελούς Εφετείου Κακουργημάτων που δίκαζε σε δεύτερο βαθμό την υπόθεση των 2,1 τόνων ηρωίνης του πλοίου Νoor One."
Ισίδωρος Ντογιάκος,"Στις 4/7/2022 προάγεται σε Εισαγγελέας του Αρείου Πάγου. Στις 5/8/2022 ξεκινάει ποινική προκαταρκτική έρευνα για το πώς έγιναν γνωστά στοιχεία σχετικά με την άρση του απορρήτου των επικοινωνιών παρακολούμενων, αλλά όχι για τις ευθύνες σχετικά με τις ίδιες τις παρακολουθήσεις. Στις 25/9/2019 ο γιος του, Ευάγγελος, προσλαμβάνεται σε θέση μετακλητού συνεργάτη στο Ιδιαίτερο Γραφείο του Υπουργού Υποδομών και Μεταφορών Κ. Καραμανλή."
